hotel_id,hotel_name,hotel_address,hotel_city,hotel_UUID
hotel_1,La Belle Ville,"349 Rue de Belleville, 19th arr., 75019 Paris, France",Paris,57bb73a2-7161-4c8d-9fe9-3a122e2ca6d2
hotel_2,Meliá Paris Vendôme,"8 Rue Cambon, 1st arr., 75001 Paris, France",Paris,ec14315e-79df-4893-a6fc-2e8454e37a2c
hotel_3,Hôtel Saint-Pétersbourg Opéra & Spa,"35, Rue Caumartin, 9th arr., 75009 Paris, France",Paris,650d8aca-54c0-49af-aa17-fa678b43611d
hotel_5,Welcome Hotel,"66 Rue de Seine, 6th arr., 75006 Paris, France",Paris,a3d1995c-40c1-48f3-948e-b46a9f5da4ee
hotel_6,Hotel De Seine,"52 Rue De Seine, 6th arr., 75006 Paris, France",Paris,80f0e5d3-9766-4e93-a66f-767d3f7679d7
hotel_7,123paris city,"11 Rue Portefoin, 3rd arr., 75003 Paris, France",Paris,c9b98d40-e7ce-41d7-a012-0c5ee1c013af
hotel_8,Solly Hôtel Paris,"4 rue Salomon de Caus, 3rd arr., 75003 Paris, France",Paris,0a963226-0df9-4c7a-9cd0-0a43e45d3f54
hotel_9,Le Grey Hotel,"12 rue de Parme, 9th arr., 75009 Paris, France",Paris,e1da09eb-7b44-408d-b250-f32da551dbf9
hotel_10,Le Petit Beaumarchais Hotel & Spa,"8, Boulevard Beaumarchais, 11th arr., 75011 Paris, France",Paris,71ee0934-1d6c-44c3-a2e9-4acab0008c64
hotel_11,Hotel L’Antoine,"10 - 12 rue de Charonne, 11th arr., 75011 Paris, France",Paris,24f0821f-1737-4644-989a-582f30a14f61
hotel_12,Hôtel Parisianer,"5 rue hector malot, 12th arr., 75012 Paris, France",Paris,ed3cdfa4-d257-499a-9410-d90571159b8a
hotel_13,Yuna Montmartre - ApartHotel,"5 Rue du Baigneur, 18th arr., 75018 Paris, France",Paris,bc7b2385-e7fc-47d6-9976-69e8ae4bce70
hotel_14,Hôtel La Conversation,"61 rue Brancion, 15th arr., 75015 Paris, France",Paris,2b301109-084f-411f-80f1-98f50948b41c
hotel_15,Hôtel Des Marronniers,"21 Rue Jacob, 6th arr., 75006 Paris, France",Paris,6eb45111-a49d-4661-ab92-7478235ed670
hotel_16,Villa Marquis Member of Meliá Collection,"35 Rue Jean Goujon, 8th arr., 75008 Paris, France",Paris,346ea3b4-c419-43c9-aaab-30d934e1df9a
hotel_17,Plaza Tour Eiffel,"32 Rue Greuze, 16th arr., 75016 Paris, France",Paris,48c73e40-38a6-427f-b99d-55451f876fd4
hotel_18,Apart hotel Centre de Paris by Studio prestige,"47 Rue Albert Thomas, 10th arr., 75010 Paris, France",Paris,3c595962-d03b-42f3-8f96-a89691b1b045
hotel_19,Austin's Arts Et Metiers Hotel,"6 Rue Montgolfier, 3rd arr., 75003 Paris, France",Paris,b24e97ae-38dd-411c-8a22-9ca472177dbf
hotel_20,Hôtel Artemisia Montmartre,"11, rue Fromentin, 9th arr., 75009 Paris, France",Paris,532e4af4-fad7-496a-8bff-cb541109a727
hotel_21,Normandy Le Chantier,"7, Rue de l'Echelle, 1st arr., 75001 Paris, France",Paris,f51299c6-0e02-4965-96c5-bf6ad20bc639
hotel_22,Hôtel Monte Cristo,"20 Rue Pascal, 5th arr., 75005 Paris, France",Paris,6d199fe4-7482-4f5d-8df0-fdeecde1accf
hotel_23,Novotel Paris Centre Tour Eiffel,"61 Quai De Grenelle, 15th arr., 75015 Paris, France",Paris,c07cb693-3fdb-4882-b5fb-bfed3f141d28
hotel_24,Hôtel National Des Arts et Métiers,"243 rue saint Martin, 3rd arr., 75003 Paris, France",Paris,8f203952-86cc-4f18-ac30-e8f8d019ba92
hotel_25,Yuna Porte-Maillot - ApartHotel,"48 Rue Jacques Ibert, 75017 Paris, France",Paris,e9d7fe65-6ff2-419d-93f3-342be61e04e8
hotel_26,Le Robinet d'Or Paris Canal Saint Martin,"17 Rue Robert Blache, 10th arr., 75010 Paris, France",Paris,ba33152e-ff4d-4edb-95ff-c1c0e6852e3b
hotel_27,Hôtel Alexandrine Opera,"10 Rue De Moscou, 8th arr., 75008 Paris, France",Paris,251a853b-2eed-40b5-b5ec-190f256ca237
hotel_28,La Dépendance,"20 Rue Molière, 1st arr., 75001 Paris, France",Paris,eb7cc6d4-d934-4b53-ad68-b8d55a9d6475
hotel_29,Maison Eugenie,"167, rue de Rome, 17th arr., 75017 Paris, France",Paris,c30bc93e-235d-4f2b-86fe-c7e0bd6aac5d
hotel_30,Résidence Nell Paris,"60 rue Richer, 9th arr., 75009 Paris, France",Paris,19a89ad7-bb04-4b9d-bea9-fc353baf36ad
hotel_31,Maison Colbert Member of Meliá Collection Notre-Dame,"7 Rue De L'hôtel Colbert, 5th arr., 75005 Paris, France",Paris,e1dc1d51-76e2-4904-bde9-75c653c8cc33
hotel_32,Elysées Union,"44, Rue de l'Amiral Hamelin, 16th arr., 75016 Paris, France",Paris,c4679613-3ff7-4cf4-a6e7-a2e620cf1911
hotel_33,Angleterre Hotel,"6 rue Bervic, 18th arr., 75018 Paris, France",Paris,5e0664ea-a0d6-4ded-819f-ce18e29b0467
hotel_34,Les Rebelles,"65 Boulevard de Belleville, 11th arr., 75011 Paris, France",Paris,9fecbbe1-d705-4489-84ff-a3b3d1451de5
hotel_35,Le Relais du Marais,"76, rue de Turbigo, 3rd arr., 75003 Paris, France",Paris,5fc3cfc8-a79b-45b0-aed6-c8c35d2a4df1
hotel_36,Hotel Royal Phare,"40, Avenue De La Motte-Picquet, 7th arr., 75007 Paris, France",Paris,9e7a6d30-1d6a-4518-90dc-cf120ae2b2d0
hotel_37,Hôtel du Mont Blanc,"28 Rue de la Huchette , 5th arr., 75005 Paris, France",Paris,af30ef92-e83b-42c5-847f-212bfb40bf7d
hotel_38,Aparthotel Adagio Porte de Versailles,"16, rue Eliane Jeannin Garreau, 92130 Paris, France",Paris,04c1170b-801d-45cd-97eb-c83736b5920c
hotel_39,Pavillon Nation,"13 Boulevard De Charonne, 11th arr., 75011 Paris, France",Paris,2e9f7bde-a06e-471d-b9f6-953d261f73f3
hotel_40,B&B HOTEL Paris 17 Batignolles,"4 Boulevard Berthier, 17th arr., 75017 Paris, France",Paris,8e8d5fd8-6e54-451f-8fb1-9123b23aaf29
hotel_41,Kraft Hotel,"37, rue du Hameau, 15th arr., 75015 Paris, France",Paris,ea095931-d972-460d-8889-d8fa70954fff
hotel_42,Hôtel des Batignolles,"26-28 Rue Des Batignolles, 17th arr., 75017 Paris, France",Paris,383b120d-5588-441c-a721-f80a6278e9b2
hotel_43,MAISON LA BOHEME Montmartre Luxury Apart'Hotel,"1 Rue Saint-Rustique, 18th arr., 75018 Paris, France",Paris,200da86b-56f4-4984-be6c-3f79fb57a250
hotel_44,Novotel Paris Vaugirard Montparnasse,"257, Rue De Vaugirard, 15th arr., 75015 Paris, France",Paris,5defd5e4-6e52-4075-9dca-23103c0838ed
hotel_45,La Perle Saint Germain des Prés,"14 rue des Canettes, 6th arr., 75006 Paris, France",Paris,a800653f-8e4f-402d-8c09-f659a6c4d1be
hotel_46,Résidence du Pré,"Rue Pierre Semard 15, 9th arr., 75009 Paris, France",Paris,9969435e-e9c3-421e-aad8-f9adbce0883c
hotel_47,Austin's Saint Lazare Hotel,"26 Rue d'Amsterdam, 9th arr., 75009 Paris, France",Paris,abbd3398-63c5-466e-8503-ca62d25ff849
hotel_48,B&B HOTEL Paris Porte des Lilas,"23 Avenue René Fonck, 19th arr., 75019 Paris, France",Paris,cc736349-cee3-40b4-aa67-1ededf473d75
hotel_49,CARD Hôtel,"104 Rue Cardinet, 17th arr., 75017 Paris, France",Paris,331653d3-37a7-4ba1-9d1e-2a1e2c8025c4
hotel_50,Hôtel Le Walt by Inwood Hotels,"37 Avenue De La Motte Picquet, 7th arr., 75007 Paris, France",Paris,c08d04e0-ef8d-4e3f-ba88-f73e0ae66b70
hotel_100,Giubileo Roma,"Via Carlo Alberto, 15, Central Station, 00185 Rome, Italy",Rome,e5e353b9-3375-468e-9769-6c3bbffc3b2a
hotel_101,Sonder Piazza San Pietro,"Via delle Fornaci 38, Aurelio, 00165 Rome, Italy",Rome,1d677706-e560-4f53-a58b-858136d8c06c
hotel_102,Hotel Le Petit,"Via Torino 122, Central Station, 00184 Rome, Italy",Rome,b069f189-b086-46f1-9285-03f3db8be291
hotel_103,Casa San Giuseppe,"Via Iberia 27, San Giovanni, 00183 Rome, Italy",Rome,cf8cc99d-7ac7-43aa-9eb4-de0c95159026
hotel_104,Elegantia Luxury Rooms,"21 Via Pietro Cavallini piano 3°, Vaticano Prati, 00193 Rome, Italy",Rome,d70fc9f1-1c30-4a3c-8373-75e3ca223d01
hotel_105,Hotel Residenza In Farnese,"Via Del Mascherone 59, Navona, 00186 Rome, Italy",Rome,af5578e7-f7fb-4c78-9c13-3c09cb306c40
hotel_106,Alloggi Costantini - Ospedale Gemelli - Metro Battistini,"Via Cardinale Garampi, 207, 00167 Rome, Italy",Rome,ffe2d66b-1d71-495a-ac50-a8a98b1632e2
hotel_107,Le Stanze Di Orazio,"Via Orazio,3 - First Floor - Step B, Vaticano Prati, 00193 Rome, Italy",Rome,f71b7db4-07f4-4791-ab80-0a08e80f7010
hotel_108,Navona Central Suites,"Via Della Scrofa 22, Spagna, 00186 Rome, Italy",Rome,e6b04729-0164-4cbd-91f4-9b0fc9c4a8a4
hotel_109,hu Roma Camping In Town,"Via Aurelia 831, 00165 Rome, Italy",Rome,2dfab201-e2e9-44dc-918b-ff09389ba153
hotel_110,DolceVeneto,"14 Via Lazio, Via Veneto, 00187 Rome, Italy",Rome,51c6fdb5-14c4-4342-91a3-3606813241b4
hotel_111,Passepartout,"118 Via del Governo Vecchio, Navona, 00186 Rome, Italy",Rome,61330542-7d73-4d1f-a370-33b0f7300afd
