room_type,price_per_night,total_price,hotel_UUID,price_UUID
Double bed,168.0,3192,57bb73a2-7161-4c8d-9fe9-3a122e2ca6d2,f28a01d1-13fd-4838-9677-8923182c9f8c
Double bed,757.0,14383,ec14315e-79df-4893-a6fc-2e8454e37a2c,b5fd3f40-259e-47a8-a520-0199e9d5799e
Double bed,737.0,14003,650d8aca-54c0-49af-aa17-fa678b43611d,4f29dcce-85f6-4339-97c0-079b313f6457
Double bed,687.0,13053,a3d1995c-40c1-48f3-948e-b46a9f5da4ee,474a5e8a-b560-4152-b1ad-8bde83bf10db
Double bed,397.0,7543,80f0e5d3-9766-4e93-a66f-767d3f7679d7,92ad586d-095f-4c0a-b867-b61a4d1b96c5
Double bed,563.0,10697,c9b98d40-e7ce-41d7-a012-0c5ee1c013af,ed41eac5-2c6d-4227-b8fd-e81a0604566f
Double bed,663.0,12597,0a963226-0df9-4c7a-9cd0-0a43e45d3f54,a0685e2a-a3b1-4af9-a994-cfc64b918963
Double bed,520.0,9880,e1da09eb-7b44-408d-b250-f32da551dbf9,a12ca795-9882-4821-91b1-dc07337bb5b8
Double bed,618.0,11742,71ee0934-1d6c-44c3-a2e9-4acab0008c64,2c8645a1-76eb-4ec1-9810-f26eb4b89fc2
Double bed,941.0,17879,24f0821f-1737-4644-989a-582f30a14f61,cfed63b5-3c4f-4255-8674-3ce800e96dae
Double bed,671.0,12749,ed3cdfa4-d257-499a-9410-d90571159b8a,30bac7dd-db34-4328-b227-55c51a748280
Double bed,484.0,9196,bc7b2385-e7fc-47d6-9976-69e8ae4bce70,0a318b43-d9ad-43e1-8b39-b0b0294a8490
Double bed,490.0,9310,2b301109-084f-411f-80f1-98f50948b41c,7031f808-124c-444b-a970-95950bf2d366
Double bed,929.0,17651,6eb45111-a49d-4661-ab92-7478235ed670,3eb9172b-c56f-47f7-88fd-f570f0ebf7e6
Double bed,550.0,10450,346ea3b4-c419-43c9-aaab-30d934e1df9a,08ec9eca-e47e-49c5-8b25-2e341c51ece2
Double bed,580.0,11020,48c73e40-38a6-427f-b99d-55451f876fd4,108cbbcf-5610-4065-92a8-833bbcf0eabc
Double bed,732.0,13908,3c595962-d03b-42f3-8f96-a89691b1b045,d3e4bb94-86a7-4d1d-8d08-86dbc944fbe8
Double bed,901.0,17119,b24e97ae-38dd-411c-8a22-9ca472177dbf,c9dea714-3355-48d9-a543-0d3aa53b0287
Double bed,184.0,3496,532e4af4-fad7-496a-8bff-cb541109a727,fd7682cf-0d14-441c-82f1-7e19c18604e2
Double bed,701.0,13319,f51299c6-0e02-4965-96c5-bf6ad20bc639,99312b14-298e-4f8c-b8a9-30696f6bd451
Double bed,671.0,12749,6d199fe4-7482-4f5d-8df0-fdeecde1accf,e75dd541-a093-4f47-9557-f1c97127cb3e
Double bed,632.0,12008,c07cb693-3fdb-4882-b5fb-bfed3f141d28,ca2b54f2-4ce5-4b4a-b07e-ff50ceb88291
Double bed,729.0,13851,8f203952-86cc-4f18-ac30-e8f8d019ba92,443c2ab8-24b9-4285-a126-6f913a4f479e
Double bed,616.0,11704,e9d7fe65-6ff2-419d-93f3-342be61e04e8,cfb2fc91-5b38-4f34-b929-e62a62a094af
Double bed,612.0,11628,ba33152e-ff4d-4edb-95ff-c1c0e6852e3b,67bc6032-2f8f-439f-b052-32979f724c50
Double bed,901.0,17119,251a853b-2eed-40b5-b5ec-190f256ca237,dc2d70a7-6b9a-41f2-902f-34d85e4364b6
Double bed,620.0,11780,eb7cc6d4-d934-4b53-ad68-b8d55a9d6475,e441d3b1-0d8b-450f-874a-07147006b94e
Double bed,113.0,2147,c30bc93e-235d-4f2b-86fe-c7e0bd6aac5d,f8b0d886-2855-492d-836e-3f2250d085ec
Double bed,802.0,15238,19a89ad7-bb04-4b9d-bea9-fc353baf36ad,6b825e0c-3cc5-422c-83ba-93a00f391d39
Double bed,501.0,9519,e1dc1d51-76e2-4904-bde9-75c653c8cc33,86b085ee-c98f-4296-8fce-3aade233f8a3
Double bed,664.0,12616,c4679613-3ff7-4cf4-a6e7-a2e620cf1911,89d6f66b-8c84-4698-a2f2-c89cd9d4d033
Double bed,596.0,11324,5e0664ea-a0d6-4ded-819f-ce18e29b0467,c85c5513-60b8-48eb-969e-142d7d481c81
Double bed,752.0,14288,9fecbbe1-d705-4489-84ff-a3b3d1451de5,84d217d7-4519-48b9-883b-263ccef38ca5
Double bed,672.0,12768,5fc3cfc8-a79b-45b0-aed6-c8c35d2a4df1,cf4e25a4-3d56-421a-be75-cf0d017d5229
Double bed,417.0,7923,9e7a6d30-1d6a-4518-90dc-cf120ae2b2d0,b89b9154-eeb3-41c1-967a-8b8044a12666
Double bed,537.0,10203,af30ef92-e83b-42c5-847f-212bfb40bf7d,d53ee7dc-ac33-477e-b910-69daeb234a0c
Double bed,455.0,8645,04c1170b-801d-45cd-97eb-c83736b5920c,9af6bf8b-6268-4a3d-a2d0-0801313fdcea
Double bed,601.0,11419,2e9f7bde-a06e-471d-b9f6-953d261f73f3,85e0672b-34bf-45d8-9de5-0d183f84145e
Double bed,881.0,16739,8e8d5fd8-6e54-451f-8fb1-9123b23aaf29,5b7b7878-53aa-422e-8e07-b4037010b556
Double bed,697.0,13243,ea095931-d972-460d-8889-d8fa70954fff,2d1e08b0-9378-4160-b35b-4e23a900a957
Double bed,772.0,14668,383b120d-5588-441c-a721-f80a6278e9b2,1802e277-635f-4a56-bc43-fa4725f8fb16
Double bed,938.0,17822,200da86b-56f4-4984-be6c-3f79fb57a250,50ecd2db-885a-4bd4-bb3b-fa6ccde3bab3
Double bed,835.0,15865,5defd5e4-6e52-4075-9dca-23103c0838ed,90e29629-49ec-49b8-a6a3-77ed47cd5ae5
Double bed,649.0,12331,a800653f-8e4f-402d-8c09-f659a6c4d1be,04bb20fc-b893-402c-b45a-fb2a33d9007d
Double bed,602.0,11438,9969435e-e9c3-421e-aad8-f9adbce0883c,0a52fd98-0b45-45ad-8f1b-9d75716d45f8
Double bed,774.0,14706,abbd3398-63c5-466e-8503-ca62d25ff849,37c8285a-0c0f-43a4-9177-bdd0451e52bd
Double bed,753.0,14307,cc736349-cee3-40b4-aa67-1ededf473d75,4f506d3d-ba35-4096-9750-6e3a842b97b7
Double bed,741.0,14079,331653d3-37a7-4ba1-9d1e-2a1e2c8025c4,23f340b7-d4b6-4d81-a168-955b2b513d62
Double bed,978.0,18582,c08d04e0-ef8d-4e3f-ba88-f73e0ae66b70,b44c7c1a-f155-4962-988c-524c4216d94d
Double bed,163.0,3097,e5e353b9-3375-468e-9769-6c3bbffc3b2a,088a80c4-37ff-4b82-bd42-ab77147b0f0c
Double bed,806.0,15314,1d677706-e560-4f53-a58b-858136d8c06c,ad753703-c7a0-4541-a8e8-2ca1d92b7df6
Double bed,761.0,14459,b069f189-b086-46f1-9285-03f3db8be291,9acd8700-3cb6-465e-86f9-2f60d06e14f8
