Destination,Flight Price,Departure,Return Trip,Route from Origin,Route from Destination
Copenhagen,€259,Sun Feb 9th 2025,Thu Mar 13th 2025,Frankfurt (HHN) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (HHN)
Copenhagen,€261.10,Tue Mar 4th 2025,Thu Mar 13th 2025,Frankfurt (HHN) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (HHN)
Copenhagen,€262.68,Tue Feb 11th 2025,Thu Mar 13th 2025,Frankfurt (HHN) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (HHN)
Copenhagen,€263.20,Sun Feb 16th 2025,Thu Mar 13th 2025,Frankfurt (HHN) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (HHN)
Copenhagen,€269.94,Wed Feb 5th 2025,Thu Mar 13th 2025,Frankfurt (HHN) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (HHN)
Copenhagen,€271.20,Sun Feb 9th 2025,Thu Mar 13th 2025,Frankfurt (HHN) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (HHN)
Copenhagen,€272.48,Sun Feb 9th 2025,Thu Mar 20th 2025,Frankfurt (HHN) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (HHN)
Copenhagen,€273.22,Tue Mar 4th 2025,Thu Mar 13th 2025,Frankfurt (HHN) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (HHN)
Copenhagen,€274.50,Tue Mar 4th 2025,Thu Mar 20th 2025,Frankfurt (HHN) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (HHN)
Copenhagen,€274.80,Tue Feb 11th 2025,Thu Mar 13th 2025,Frankfurt (HHN) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (HHN)
Copenhagen,€314,Fri Feb 21st 2025,Sun Mar 9th 2025,Frankfurt (FRA) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (FRA)
Copenhagen,€314,Fri Feb 21st 2025,Sun Mar 9th 2025,Frankfurt (FRA) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (FRA)
Copenhagen,€314,Fri Feb 21st 2025,Sun Mar 9th 2025,Frankfurt (FRA) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (FRA)
Copenhagen,€314,Fri Feb 21st 2025,Sun Mar 9th 2025,Frankfurt (FRA) → Copenhagen (CPH),Copenhagen (CPH) → Frankfurt (FRA)
