hotel_id,hotel_name,hotel_address,hotel_city
hotel_400,Hotel du Jeu de Paume,54  rue Saint Louis en l'île  Ile Saint Louis  Paris  75004,Paris
hotel_401,Hôtel Belloy Saint-Germain,2 Rue Racine/bd St Michel  Paris  Paris  75006,Paris
hotel_402,Villa Beaumarchais,5 Rue Des Arquebusiers  Paris  Paris  75003,Paris
hotel_403,1K Paris,13 Boulevard Du Temple  Paris  75003,Paris
hotel_404,Hotel Antin Saint-Georges,21 rue Notre Dame de Lorette  Paris  Paris  75009,Paris
hotel_405,Maxim Quartier Latin,28 Rue Censier  Paris  Paris  75005,Paris
hotel_406,OKKO Hotels Paris Gare de l'Est,30 A rue d'Alsace  Paris  75010,Paris
hotel_407,D'win Hotel,20 Rue Du Temple  Paris  Paris  75004,Paris
hotel_408,Hôtel Castex,5 Rue Castex  Paris  Paris  75004,Paris
hotel_409,citizenM Paris Opera,18 Rue du Croissant  Paris  75002,Paris
hotel_410,Hotel du Vieux Marais,8 rue du Plâtre  Paris  75004,Paris
hotel_412,Hotel Regyn's Montmartre,18 Place Des Abbesses  Paris  Paris  75018,Paris
hotel_413,Hôtel Le Chat Noir,68 Boulevard De Clichy  Paris  Paris  75018,Paris
hotel_414,La Dépendance,20 Rue Moliere  Paris  Paris  75001,Paris
hotel_416,Hôtel Basss,57 Rue Des Abbesses  Paris  Paris  75018,Paris
hotel_417,Timhotel Montmartre,11 Rue Ravignan  Paris  Paris  75018,Paris
hotel_418,Hôtel Rochechouart - Orso Hotels,55 Boulevard de Rochechouart  Paris  Paris  75009,Paris
hotel_419,Hotel Louvre Piemont,22 Rue De Richelieu  Paris  Paris  75001,Paris
hotel_420,Hôtel Pont Royal,7 Rue Montalembert  Paris  Paris  75007,Paris
hotel_421,Londres Saint-Honoré Hotel,13 Rue Saint-roch  Paris  Paris  75001,Paris
hotel_422,Beaugency Hotel,21 Rue Duvivier  Paris  Paris  75007,Paris
hotel_423,Libertel Montmartre Opéra,32 Rue Duperré  Paris  Paris  75009,Paris
hotel_424,Casa Ô,108 rue Réaumur  Paris  75002,Paris
hotel_425,Villa Royale,2 Rue Duperré  Paris  Paris  75009,Paris
hotel_426,"Hôtel Littéraire Marcel Aymé, BW Premier Collection",16 Rue Tholoze  Paris  Paris  75018,Paris
hotel_427,Hotel Louvre Piemont,22 Rue De Richelieu  Paris  Paris  75001,Paris
hotel_428,Citadines Montmartre Paris,16 Avenue Rachel  Paris  Paris  75018,Paris
hotel_429,citizenM Paris Champs-Élysées,128 Rue la Boétie  Paris  75008,Paris
hotel_430,Hôtel Le Saint-Grégoire,43  rue de l'Abbé Grégoire  Paris  Paris  75006,Paris
hotel_431,Hôtel Du Beaumont,3 Rue Lepic  Paris  Paris  75018,Paris
hotel_433,Hotel De Nice,42 Bis Rue De Rivoli  Paris  Paris  75004,Paris
hotel_434,Hôtel Lorette - Astotel,36 Rue Notre Dame De Lorette  Paris  Paris  75009,Paris
hotel_435,Hotel Turenne Le Marais,6 Rue De Turenne  Paris  Paris  75004,Paris
hotel_436,Hôtel de La Herse d'Or,20 Rue Saint Antoine  Paris  Paris  75004,Paris
hotel_437,Hotel Bonsejour Montmartre,11 Rue Burq  Paris  Paris  75018,Paris
hotel_438,WS Louvre - Casanova,24 Rue Danielle Casanova  Paris  75002,Paris
hotel_439,Hôtel Phénix,5  rue du général Lanrezac  Paris  75017,Paris
hotel_440,Hotel au coeur des Arts et Metiers,19 Rue du Vertbois  Paris  Département de Paris  75003,Paris
hotel_441,Rayz Eiffel,77 avenue bosquet  Paris  75007,Paris
hotel_442,Villa Alessandra,9 Place Boulnois  Paris  Paris  75017,Paris
hotel_443,Grand Pigalle Experimental,29 Rue Victor Massé  Paris  Paris  75009,Paris
hotel_444,Boudoir des Muses,6 rue de Saintonge  Paris  75006,Paris
hotel_445,Hôtel L de Lutèce - Notre-Dame,65 Rue Saint-Louis-en-l'Ile  Paris  Paris  75004,Paris
hotel_446,Hôtel Saint-Roch,25 Rue Saint-Roch  Paris  Paris  75001,Paris
hotel_447,Hotel Americain,72 Rue Charlot  Paris  Paris  75003,Paris
hotel_448,Relais Bosquet by Malone,19 Rue Du Champ De Mars  Paris  Paris  75007,Paris
hotel_449,Hotel Andrea,3 rue Saint-Bon  Paris  75004,Paris
hotel_450,Hôtel Les 3 Poussins,15 Rue Clauzel  Paris  Paris  75009,Paris
hotel_451,Hôtel Da Vinci & Spa,25 Rue des Saint Pères  Paris  Paris  75006,Paris
hotel_452,L'Empire Paris,48 Rue De L Arbre Sec  Paris  Paris  75001,Paris
hotel_453,Hôtel Caron le Marais,3 Rue Caron  Paris  Paris  75004,Paris
hotel_454,Le Relais Montmartre,6  rue Constance  Paris  Paris  75018,Paris
hotel_455,Pratic Hotel,9 rue d'Ormesson  Paris  Paris  75004,Paris
hotel_456,Hôtel Emile Le Marais,2 rue Malher  Paris  75004,Paris
hotel_457,Hôtel Arvor Saint Georges,8 Rue Laferriere  Paris  Paris  75009,Paris
hotel_458,Hôtel Filigrane & Spa,40 Rue Vivienne  Paris  Département de Paris  75002,Paris
hotel_459,Artemisia Montmartre,11 Rue Fromentin  Paris  Paris  75009,Paris
hotel_460,citizenM Paris Gare de Lyon,8 Rue van Gogh  Paris  Ile-de-France  75012,Paris
hotel_461,Hotel Bachaumont,18 rue Bachaumont  Paris  Paris  75002,Paris
hotel_462,Padam Hôtel,9 Rue Jean Giraudoux  Paris  Département de Paris  75116,Paris
hotel_463,Hotel Elysees Regencia,41  Avenue Marceau  Paris  Paris  75116,Paris
hotel_464,Hotel Ile de France Opéra,26 Rue Saint Augustin  Paris  Paris  75002,Paris
hotel_465,Le Tsuba Hotel,45 rue des Acacias  Paris  75017,Paris
hotel_466,Hôtel Baudelaire Opéra,61 rue Sainte-Anne  Paris  Paris  75002,Paris
hotel_467,Hotel Duminy Vendome,3 Rue du Mont Thabor  Paris  Paris  75001,Paris
hotel_468,Hotel Regina Montmartre,94 boulevard de Rochechouart  Montmartre-Pigalle (18e)  Paris  Paris  75018,Paris
hotel_469,L'Empire Paris,48 Rue De L Arbre Sec  Paris  Paris  75001,Paris
hotel_470,Ibis Paris Montmartre Sacré-Coeur,5 Rue Caulaincourt  Paris  Paris  75018,Paris
hotel_471,Ginette à la Folie,49 Rue de Malte  Paris  Département de Paris  75011,Paris
hotel_472,My Maison In Paris - Invalides,149 Rue de Grenelle  Paris  Département de Paris  75007,Paris
hotel_473,La Villa des Ternes Hotel,97 Avenue Des Ternes  Paris  Paris  75017,Paris
hotel_474,Hotel Saint Dominique,62 Rue Saint Dominique  Paris  Paris  75007,Paris
hotel_475,Terrass'' Hotel,12-14 Rue Joseph de Maistre  Paris  Paris  75018,Paris
hotel_476,Normandy Le Chantier,7 Rue De L Echelle  Paris  Paris  75001,Paris
hotel_477,Hotel Riviera Elysées,55  rue des Acacias  Paris  75017,Paris
hotel_478,Stella,Avenue Carnot 20  Paris  Ile-de-France  75017,Paris
hotel_479,Le Belmont Paris,30 Rue De Bassano  Paris  Paris  75116,Paris
hotel_480,Hotel du Cadran,10 Rue Du Champ De Mars  Paris  Paris  75007,Paris
hotel_481,Mercure Paris Butte Montmartre Basilique,100  Boulevard Rochechouart  Paris  75018,Paris
hotel_482,Les Patios du Marais,26 Rue des Gravilliers  Paris  75003,Paris
hotel_483,Tonic Hotel Du Louvre,12-14 Rue Du Roule  Paris  Paris  75001,Paris
hotel_484,Hotel Le Cercle Tour Eiffel,117 Avenue De La Bourdonnais  Paris  Paris  75007,Paris
hotel_485,Hotel Britannique,20 Avenue Victoria  Paris  Paris  75001,Paris
hotel_486,Hôtel Helzear Champs Elysées,49 avenue Marceau  Paris  Paris  75116,Paris
hotel_487,Timhotel Opera Blanche Fontaine,34 Rue Pierre Fontaine  Paris  Paris  75009,Paris
hotel_488,Hôtel Monsieur Aristide,3 Rue Aristide Bruant  Paris  Département de Paris  75018,Paris
hotel_489,Hôtel Hiro,7 Rue Brey  Paris  Paris  75017,Paris
hotel_490,Aparthotel Quartier Libre Marais,82 Boulevard de Sébastopol  Paris  75003,Paris
hotel_491,Hotel Albert 1er Paris Lafayette,162 Rue La Fayette  Paris  Paris  75010,Paris
hotel_492,Hôtel Les Matins de Paris & Spa,3 rue Clauzel  Paris  75009,Paris
hotel_493,1er Etage SoPi,34 rue Jean Baptiste Pigalle  Paris  75009,Paris
hotel_494,Hôtel Les Matins de Paris & Spa,3 rue Clauzel  Paris  75009,Paris
hotel_495,Maison Pigalle,41 Rue Jean-baptiste Pigalle  Paris  Paris  75009,Paris
hotel_496,Timhotel Le Louvre,4 rue Croix des Petits Champs  Paris  75001,Paris
hotel_497,Hotel Saint Honore 85,85 Rue Saint Honore  Paris  Paris  75001,Paris
hotel_498,Timhotel Invalides Eiffel,Boulevard De La Tour Maubourg  35  Paris  Paris  75007,Paris
hotel_499,Hôtel Le 123 Sébastopol - Astotel,123 boulevard de Sébastopol  Paris  Paris  75002,Paris
hotel_500,"ELSA, Hôtel Paris",27 Avenue Carnot  Paris  Paris  75017,Paris
