price_id,hotel_id,room_type,total_price
price_400,hotel_400,Double bed,"Der aktuelle Preis beträgt 1.068 €.
1.068 €"
price_403,hotel_401,Double bed,"Der aktuelle Preis beträgt 757 €.
757 €"
price_406,hotel_402,Double bed,"Der aktuelle Preis beträgt 737 €.
737 €"
price_409,hotel_403,Double bed,"Der aktuelle Preis beträgt 687 €.
687 €"
price_412,hotel_404,Double bed,"Der aktuelle Preis beträgt 397 €.
397 €"
price_415,hotel_405,Double bed,"Der aktuelle Preis beträgt 563 €.
563 €"
price_418,hotel_406,Double bed,"Der aktuelle Preis beträgt 663 €.
663 €"
price_421,hotel_407,Double bed,"Der aktuelle Preis beträgt 520 €.
520 €"
price_424,hotel_408,Double bed,"Der aktuelle Preis beträgt 618 €.
618 €"
price_427,hotel_409,Double bed,"Der aktuelle Preis beträgt 941 €.
941 €"
price_430,hotel_410,Double bed,"Der aktuelle Preis beträgt 671 €.
671 €"
price_436,hotel_412,Double bed,"Der aktuelle Preis beträgt 484 €.
484 €"
price_439,hotel_413,Double bed,"Der aktuelle Preis beträgt 490 €.
490 €"
price_442,hotel_414,Double bed,"Der aktuelle Preis beträgt 929 €.
929 €"
price_448,hotel_416,Double bed,"Der aktuelle Preis beträgt 550 €.
550 €"
price_451,hotel_417,Double bed,"Der aktuelle Preis beträgt 580 €.
580 €"
price_454,hotel_418,Double bed,"Der aktuelle Preis beträgt 732 €.
732 €"
price_457,hotel_419,Double bed,"Der aktuelle Preis beträgt 901 €.
901 €"
price_460,hotel_420,Double bed,"Der aktuelle Preis beträgt 1.184 €.
1.184 €"
price_463,hotel_421,Double bed,"Der aktuelle Preis beträgt 701 €.
701 €"
price_466,hotel_422,Double bed,"Der aktuelle Preis beträgt 671 €.
671 €"
price_469,hotel_423,Double bed,"Der aktuelle Preis beträgt 632 €.
632 €"
price_472,hotel_424,Double bed,"Der aktuelle Preis beträgt 729 €.
729 €"
price_475,hotel_425,Double bed,"Der aktuelle Preis beträgt 616 €.
616 €"
price_478,hotel_426,Double bed,"Der aktuelle Preis beträgt 612 €.
612 €"
price_481,hotel_427,Double bed,"Der aktuelle Preis beträgt 901 €.
901 €"
price_484,hotel_428,Double bed,"Der aktuelle Preis beträgt 620 €.
620 €"
price_487,hotel_429,Double bed,"Der aktuelle Preis beträgt 1.013 €.
1.013 €"
price_490,hotel_430,Double bed,"Der aktuelle Preis beträgt 802 €.
802 €"
price_493,hotel_431,Double bed,"Der aktuelle Preis beträgt 501 €.
501 €"
price_499,hotel_433,Double bed,"Der aktuelle Preis beträgt 664 €.
664 €"
price_502,hotel_434,Double bed,"Der aktuelle Preis beträgt 596 €.
596 €"
price_505,hotel_435,Double bed,"Der aktuelle Preis beträgt 752 €.
752 €"
price_508,hotel_436,Double bed,"Der aktuelle Preis beträgt 672 €.
672 €"
price_511,hotel_437,Double bed,"Der aktuelle Preis beträgt 417 €.
417 €"
price_514,hotel_438,Double bed,"Der aktuelle Preis beträgt 537 €.
537 €"
price_517,hotel_439,Double bed,"Der aktuelle Preis beträgt 455 €.
455 €"
price_520,hotel_440,Double bed,"Der aktuelle Preis beträgt 601 €.
601 €"
price_523,hotel_441,Double bed,"Der aktuelle Preis beträgt 881 €.
881 €"
price_526,hotel_442,Double bed,"Der aktuelle Preis beträgt 697 €.
697 €"
price_529,hotel_443,Double bed,"Der aktuelle Preis beträgt 772 €.
772 €"
price_532,hotel_444,Double bed,"Der aktuelle Preis beträgt 938 €.
938 €"
price_535,hotel_445,Double bed,"Der aktuelle Preis beträgt 835 €.
835 €"
price_538,hotel_446,Double bed,"Der aktuelle Preis beträgt 649 €.
649 €"
price_541,hotel_447,Double bed,"Der aktuelle Preis beträgt 602 €.
602 €"
price_544,hotel_448,Double bed,"Der aktuelle Preis beträgt 774 €.
774 €"
price_547,hotel_449,Double bed,"Der aktuelle Preis beträgt 753 €.
753 €"
price_550,hotel_450,Double bed,"Der aktuelle Preis beträgt 741 €.
741 €"
price_553,hotel_451,Double bed,"Der aktuelle Preis beträgt 978 €.
978 €"
price_556,hotel_452,Double bed,"Der aktuelle Preis beträgt 1.063 €.
1.063 €"
price_559,hotel_453,Double bed,"Der aktuelle Preis beträgt 806 €.
806 €"
price_562,hotel_454,Double bed,"Der aktuelle Preis beträgt 761 €.
761 €"
price_565,hotel_455,Double bed,"Der aktuelle Preis beträgt 680 €.
680 €"
price_568,hotel_456,Double bed,"Der aktuelle Preis beträgt 829 €.
829 €"
price_571,hotel_457,Double bed,"Der aktuelle Preis beträgt 621 €.
621 €"
price_574,hotel_458,Double bed,"Der aktuelle Preis beträgt 838 €.
838 €"
price_577,hotel_459,Double bed,"Der aktuelle Preis beträgt 813 €.
813 €"
price_580,hotel_460,Double bed,"Der aktuelle Preis beträgt 730 €.
730 €"
price_583,hotel_461,Double bed,"Der aktuelle Preis beträgt 1.053 €.
1.053 €"
price_586,hotel_462,Double bed,"Der aktuelle Preis beträgt 995 €.
995 €"
price_589,hotel_463,Double bed,"Der aktuelle Preis beträgt 1.090 €.
1.090 €"
price_592,hotel_464,Double bed,"Der aktuelle Preis beträgt 706 €.
706 €"
price_595,hotel_465,Double bed,"Der aktuelle Preis beträgt 871 €.
871 €"
price_598,hotel_466,Double bed,"Der aktuelle Preis beträgt 712 €.
712 €"
price_601,hotel_467,Double bed,"Der aktuelle Preis beträgt 1.215 €.
1.215 €"
price_604,hotel_468,Double bed,"Der aktuelle Preis beträgt 383 €.
383 €"
price_607,hotel_469,Double bed,"Der aktuelle Preis beträgt 1.063 €.
1.063 €"
price_610,hotel_470,Double bed,"Der aktuelle Preis beträgt 549 €.
549 €"
price_613,hotel_471,Double bed,"Der aktuelle Preis beträgt 939 €.
939 €"
price_616,hotel_472,Double bed,"Der aktuelle Preis beträgt 868 €.
868 €"
price_619,hotel_473,Double bed,"Der aktuelle Preis beträgt 648 €.
648 €"
price_622,hotel_474,Double bed,"Der aktuelle Preis beträgt 840 €.
840 €"
price_625,hotel_475,Double bed,"Der aktuelle Preis beträgt 901 €.
901 €"
price_628,hotel_476,Double bed,"Der aktuelle Preis beträgt 1.300 €.
1.300 €"
price_631,hotel_477,Double bed,"Der aktuelle Preis beträgt 491 €.
491 €"
price_634,hotel_478,Double bed,"Der aktuelle Preis beträgt 677 €.
677 €"
price_637,hotel_479,Double bed,"Der aktuelle Preis beträgt 1.036 €.
1.036 €"
price_640,hotel_480,Double bed,"Der aktuelle Preis beträgt 900 €.
900 €"
price_643,hotel_481,Double bed,"Der aktuelle Preis beträgt 748 €.
748 €"
price_646,hotel_482,Double bed,"Der aktuelle Preis beträgt 640 €.
640 €"
price_649,hotel_483,Double bed,"Der aktuelle Preis beträgt 604 €.
604 €"
price_652,hotel_484,Double bed,"Der aktuelle Preis beträgt 836 €.
836 €"
price_655,hotel_485,Double bed,"Der aktuelle Preis beträgt 967 €.
967 €"
price_658,hotel_486,Double bed,"Der aktuelle Preis beträgt 859 €.
859 €"
price_661,hotel_487,Double bed,"Der aktuelle Preis beträgt 751 €.
751 €"
price_664,hotel_488,Double bed,"Der aktuelle Preis beträgt 855 €.
855 €"
price_667,hotel_489,Double bed,"Der aktuelle Preis beträgt 696 €.
696 €"
price_670,hotel_490,Double bed,"Der aktuelle Preis beträgt 1.060 €.
1.060 €"
price_673,hotel_491,Double bed,"Der aktuelle Preis beträgt 591 €.
591 €"
price_676,hotel_492,Double bed,"Der aktuelle Preis beträgt 811 €.
811 €"
price_679,hotel_493,Double bed,"Der aktuelle Preis beträgt 791 €.
791 €"
price_682,hotel_494,Double bed,"Der aktuelle Preis beträgt 811 €.
811 €"
price_685,hotel_495,Double bed,"Der aktuelle Preis beträgt 839 €.
839 €"
price_688,hotel_496,Double bed,"Der aktuelle Preis beträgt 837 €.
837 €"
