hotel_1,hotel_1,Superior Double Room,156.68,2977
hotel_4,hotel_2,Melia Double Room,362.89,6895
hotel_7,hotel_3,Classic Double Room,311.05,5910
hotel_13,hotel_5,"Deluxe Double Room "" La Dauphine""",387.47,7362
hotel_16,hotel_6,Classic Room,384.63,7308
hotel_19,hotel_7,Superior Apartment,334.68,6359
hotel_22,hotel_8,Comfort Double Room,273.0,5187
hotel_25,hotel_9,Triple Deluxe,221.0,4199
hotel_28,hotel_10,Superior Double or Twin Room with Sauna Access,407.95,7751
hotel_31,hotel_11,Classic Double Room,202.47,3847
hotel_34,hotel_12,Classic Double Room,269.47,5120
hotel_37,hotel_13,1 bedroom Apartment Premium 4 people - 131 ft²,284.79,5411
hotel_40,hotel_14,Classic Room,167.84,3189
hotel_43,hotel_15,Classic Double Room,371.32,7055
hotel_46,hotel_16,Superior Room,437.05,8304
hotel_49,hotel_17,Deluxe Room,340.26,6465
hotel_52,hotel_18,Apartment,300.74,5714
hotel_55,hotel_19,Double Room,212.89,4045
hotel_58,hotel_20,Classic Room,292.58,5559
hotel_61,hotel_21,Superior King Room - Afterworks,447.42,8501
hotel_64,hotel_22,Classic Double Room with pool access,247.05,4694
hotel_67,hotel_23,Classic Twin Room,201.11,3821
hotel_70,hotel_24,Double Classic,325.74,6189
hotel_73,hotel_25,Studio Deluxe - 20m2,222.58,4229
hotel_76,hotel_26,Family Suite,399.05,7582
hotel_79,hotel_27,Twin Room,217.53,4133
hotel_82,hotel_28,Cozy,402.32,7644
hotel_85,hotel_29,Standard Double Room,235.32,4471
hotel_88,hotel_30,Classic Apartment,430.37,8177
hotel_91,hotel_31,Superior Room with partial Noter Dame View,568.53,10802
hotel_94,hotel_32,Double Room,204.74,3890
hotel_97,hotel_33,Double Room,111.95,2127
hotel_100,hotel_34,Queen Room,171.84,3265
hotel_103,hotel_35,Double or Twin Room,207.37,3940
hotel_106,hotel_36,Classic Double Room,222.63,4230
hotel_109,hotel_37,Double Room,217.47,4132
hotel_112,hotel_38,Studio (2 Adults),143.95,2735
hotel_115,hotel_39,Classic Room,201.05,3820
hotel_118,hotel_40,Comfort Double Room,146.42,2782
hotel_121,hotel_41,MEDIUM Twin or Double,379.74,7215
hotel_124,hotel_42,Classic Double or Twin Room,136.53,2594
hotel_127,hotel_43,MATISSE - Two-Bedroom Superior Duplex Apartment,719.21,13665
hotel_130,hotel_44,Classic Double Room,224.89,4273
hotel_133,hotel_45,Classic Double or Twin Room,346.53,6584
hotel_136,hotel_46,Double Room,146.84,2790
hotel_139,hotel_47,Double Room,216.21,4108
hotel_142,hotel_48,Twin Room,96.37,1831
hotel_145,hotel_49,Superior Queen Room,264.89,5033
hotel_148,hotel_50,Classic Double Room,313.0,5947
hotel_100,hotel_100,Deluxe Double or Twin Room,163.21,3101
hotel_103,hotel_101,One-Bedroom Apartment,192.58,3659
hotel_106,hotel_102,Large Double or Twin Room,444.74,8450
hotel_109,hotel_103,Superior Double or Twin Room,178.05,3383
hotel_112,hotel_104,Deluxe Double Room,307.47,5842
hotel_115,hotel_105,Twin Room,249.47,4740
hotel_118,hotel_106,Double Room with Private Bathroom,72.11,1370
hotel_121,hotel_107,Double or Twin Room,256.05,4865
hotel_124,hotel_108,Senior Suite with Spa Bath and Sauna,250.26,4755
hotel_127,hotel_109,Tent,55.79,1060
hotel_130,hotel_110,Comfort Quadruple Room,329.47,6260
hotel_133,hotel_111,Double Room,221.47,4208
hotel_136,hotel_112,Maisonette,249.84,4747
hotel_139,hotel_113,Junior Suite 2/4 Adults,438.53,8332
hotel_142,hotel_114,Superior Suite,235.11,4467
hotel_145,hotel_115,Superior Double Room - Attic,194.26,3691
hotel_148,hotel_116,Junior Suite,445.84,8471
hotel_151,hotel_117,Executive Suite,310.95,5908
hotel_154,hotel_118,Quadruple Room with View,320.95,6098
hotel_157,hotel_119,Double Room with Spa Bath,317.26,6028
hotel_160,hotel_120,Deluxe Double Room,178.58,3393
hotel_163,hotel_121,Double Room,236.89,4501
hotel_166,hotel_122,Superior Double Room,297.26,5648
hotel_169,hotel_123,Deluxe Double or Twin Room,214.32,4072
